ds,yhat,yhat_lower,yhat_upper,trend
2017-05-09,1245.186442183667,-1426.0322300163764,3933.095682310929,1855.0259192518151
2017-05-10,290.99853242085214,-2329.747375927716,2909.6385068448185,1856.0288847991374
2017-05-11,1437.9470821577502,-1269.5659054286832,4077.9300275494556,1857.0318503464598
2017-05-12,1938.5838677293252,-432.5988136092346,4705.918760247873,1858.0348158937823
2017-05-13,1623.1950322611508,-1001.7904318589059,4038.9660016408448,1859.0377814411045
2017-05-14,1781.5540743688352,-636.349294588088,4381.431873117742,1860.040746988427
2017-05-15,1962.6426099919422,-705.7644149808682,4675.153529512792,1861.0437125357494
2017-05-16,1353.2435171747907,-1236.865955003827,3948.810080886221,1862.0466780830716
2017-05-17,415.9886863809429,-2233.4791023866496,3108.666186349171,1863.049643630394
2017-05-18,1578.196344755725,-1005.7195502761277,4071.414190318115,1864.0526091777165
2017-05-19,2092.0069083077756,-537.9774556311863,4667.133432215271,1865.0555747250387
2017-05-20,1787.3503849271815,-1032.8210641665003,4353.955405154381,1866.0585402723611
2017-05-21,1953.709062639561,-675.973019034685,4596.745984712995,1867.0615058196836
2017-05-22,2139.8459299577494,-411.29337553566813,4750.986334995286,1868.0644713670058
2017-05-23,1532.403253214274,-1064.314527459425,4012.2160506365067,1869.0674369143283
2017-05-24,593.9534170758952,-2011.1916236636175,3146.8711548195165,1870.0704024616507
2017-05-25,1751.8369508009014,-610.6350054070748,4319.556605551771,1871.0733680089727
2017-05-26,2258.296719081344,-354.0486038733335,5053.336207586631,1872.0763335562954
2017-05-27,1943.4413937687802,-556.6921417866513,4465.89312162453,1873.0792991036178
2017-05-28,2097.002099072349,-455.6112075525964,4728.174812538953,1874.0822646509398
2017-05-29,3403.1268797967364,895.4413731328215,5904.501918155848,1875.0852301982623
2017-05-30,1643.5997846221194,-1079.2258348457956,4284.744811225521,1876.088195745585
2017-05-31,686.6206852878772,-1917.1052413851428,3179.8374318864144,1877.091161292907
2017-06-01,1824.8915912947602,-835.6566287022454,4309.954690876109,1878.0941268402294
2017-06-02,2311.1083108203106,-355.13486564190924,4823.639579171109,1879.097092387552
2017-06-03,1975.8372463644666,-715.4178267087103,4702.660951455781,1880.100057934874
2017-06-04,2109.25949445449,-430.82372030806494,4595.2591331223175,1881.1030234821965
2017-06-05,2260.879290974662,-258.1486473837685,4784.847009191342,1882.105989029519
2017-06-06,1618.1018368240807,-998.462299035556,4264.344900683127,1883.1089545768411
2017-06-07,644.2632302452369,-1846.1580644486166,3217.4859102957735,1884.1119201241636
2017-06-08,1767.4480406357684,-902.673779269031,4397.561602752431,1885.114885671486
2017-06-09,2240.604088717833,-54.927776211401095,4819.37251607806,1886.1178512188083
2017-06-10,1894.488092557543,-676.1318897061504,4675.052098053943,1887.1208167661307
2017-06-11,2019.4065567078542,-427.3460610811886,4606.164982599174,1888.123782313453
2017-06-12,2164.9229813777492,-424.6530935881848,4838.993849883167,1889.1267478607754
2017-06-13,1518.4364152461658,-949.2213840392807,3986.791993294941,1890.1297134080978
2017-06-14,543.2140084832713,-2074.435389572856,3211.4886453422614,1891.1326789554198
2017-06-15,1667.2129750591955,-823.9550790711222,4255.043250738683,1892.1356445027425
2017-06-16,2143.201352736316,-574.1205464856351,4603.271514999027,1893.138610050065
2017-06-17,1801.7109990123192,-774.0382482187939,4216.325871829338,1894.141575597387
2017-06-18,1932.786941987171,-609.4481054641884,4259.922591948741,1895.1445411447094
2017-06-19,2085.703876193587,-456.1442137988237,4530.839613990949,1896.147506692032
2017-06-20,1447.5545209022875,-1195.0295510957715,3971.418772586379,1897.150472239354
2017-06-21,481.2921816990181,-2183.5608512966655,3121.1295365933624,1898.1534377866765
2017-06-22,1614.5626091684985,-967.4725315112715,4170.345527287423,1899.1564033339992
2017-06-23,2099.834237688424,-420.0995017297511,4846.77842601334,1900.1593688813211
2017-06-24,1767.359956721117,-767.0663219401742,4324.702243212802,1901.1623344286436
2017-06-25,1906.934275502694,-552.9169722858107,4488.142434601367,1902.165299975966
2017-06-26,2067.6164485634204,-555.2840568624208,4730.711305804021,1903.1682655232883
2017-06-27,1436.3240988625107,-1089.9561099759974,4020.443307343311,1904.1712310706107
2017-06-28,475.8795454170538,-2138.85891117885,3008.0529303994645,1905.1741966179331
2017-06-29,1613.8438457181376,-1052.2638399213824,4020.6933138658505,1906.1771621652554
2017-06-30,2102.6476045130353,-470.43833986907146,4682.002422290665,1907.1801277125778
2017-07-01,1772.5517224636824,-673.9712332115561,4536.646513491918,1908.1830932599003
2017-07-02,1913.4020176536897,-523.7152848128965,4351.583632222426,1909.1860588072225
2017-07-03,2074.3484075331535,-470.09691506699363,4450.602837687163,1910.189024354545
2017-07-04,788.8973124407548,-1749.6417680702793,3415.761525388182,1911.1919899018674
2017-07-05,480.6319651236279,-2186.9093042294867,3024.84643265913,1912.1949554491896
2017-07-06,1616.6790413130864,-842.6794885292258,4289.049269374759,1913.197920996512
2017-07-07,2103.1922982862484,-459.6568964042868,4662.092473000175,1914.2008865438345
2017-07-08,1770.6252857454745,-580.8108136656076,4361.974776174952,1915.2038520911567
2017-07-09,1909.0141660311185,-554.0647807698283,4534.149791696952,1916.2068176384792
2017-07-10,2067.689328563126,-455.7727177553309,4469.4120287401,1917.2097831858016
2017-07-11,1433.8567998293872,-1279.9387218394334,3885.8446417853634,1918.212748733124
2017-07-12,470.63209854874435,-2023.4001115690019,3061.4118981405536,1919.2157142804463
2017-07-13,1605.8619920747608,-1124.843957835929,4084.4926044957238,1920.2186798277687
2017-07-14,2092.2436400651136,-315.051687159828,4729.522393550059,1921.2216453750912
2017-07-15,1760.2747077169734,-903.5063751799524,4157.482856058417,1922.2246109224131
2017-07-16,1899.9987518210137,-778.2060294087328,4361.118622580098,1923.2275764697358
2017-07-17,2060.716886914062,-600.9492440645583,4435.050397709697,1924.2305420170583
2017-07-18,1429.5706911839266,-1199.2916437291763,3862.4362936662665,1925.2335075643803
2017-07-19,469.57895082267237,-2265.324350099035,3115.7836004502465,1926.236473111703
2017-07-20,1608.4636010653348,-945.4821991272356,4296.8445703519765,1927.2394386590254
2017-07-21,2098.77420822295,-688.5926109237529,4788.007663520716,1928.2424042063474
2017-07-22,1770.844394164345,-596.0986978434623,4239.0679565870705,1929.2453697536698
2017-07-23,1914.5442919868856,-635.5667141654118,4450.148847776541,1930.248335300992
2017-07-24,2078.9997990120855,-598.8913140588097,4581.465304640832,1931.2513008483145
2017-07-25,1451.1833265274877,-1012.8741670763103,4086.4320960880123,1932.254266395637
2017-07-26,493.95837377038606,-2032.5938843201802,3085.866889700955,1933.2572319429592
2017-07-27,1634.9130110193014,-1002.4708646952016,4284.849731941559,1934.2601974902816
2017-07-28,2126.491349003338,-583.5597399926016,4851.581581170334,1935.2631630376038
2017-07-29,1798.9561438455878,-657.38602661293,4511.243298532158,1936.2661285849263
2017-07-30,1942.14639684366,-713.3380584384252,4369.978757434629,1937.2690941322487
2017-07-31,2105.2005161125544,-582.7271406680068,4666.954310588455,1938.2720596795707
2017-08-01,1475.1495768491825,-1269.1571512155967,4169.998959176459,1939.2750252268934
2017-08-02,514.962887248694,-1804.2900164542316,2943.520837559955,1940.2779907742158
2017-08-03,1652.3808703020807,-743.5978829432634,4260.093998156651,1941.2809563215378
2017-08-04,2140.0443130259778,-315.0479292107432,4501.491735970601,1942.2839218688603
2017-08-05,1808.4531563515072,-696.4713392062386,4402.333861158728,1943.286887416183
2017-08-06,1947.7187590917351,-460.0084882723964,4500.972917699777,1944.289852963505
2017-08-07,2107.2803245792147,-460.2730305606316,4595.016134278184,1945.2928185108274
2017-08-08,1474.490193413862,-1095.4759196325708,4142.831622557233,1946.29578405815
2017-08-09,512.6504159655135,-2116.9324216647333,3111.6705823743796,1947.2987496054725
2017-08-10,1649.8358559449441,-917.3854463330033,4305.559398164945,1948.3017151527945
2017-08-11,2139.013145302082,-459.6222100251437,4721.912765860039,1949.304680700117
2017-08-12,1810.9889523225836,-793.3815445437227,4480.42467232351,1950.3076462474396
2017-08-13,1956.151796674821,-532.5714681292856,4422.917429057619,1951.3106117947616
2017-08-14,2124.178403514412,-405.98504253033076,4899.645840693244,1952.313577342084
2017-08-15,1502.609597919578,-1013.3810617013949,4141.8809939952625,1953.3165428894067
2017-08-16,554.8784368726376,-1922.71909677255,3311.011848967831,1954.3195084367287
2017-08-17,1709.1260913919755,-890.447942117867,4221.093684896987,1955.3224739840512
2017-08-18,2218.3150301560454,-418.6283730292176,4897.35766879741,1956.3254395313736
2017-08-19,1913.1731610660454,-721.319588376253,4541.785427824934,1957.3284050786958
2017-08-20,2083.933316448314,-500.1510243504242,4674.358276108443,1958.3313706260183
2017-08-21,2280.039179220973,-127.43725159411042,4929.737690599447,1959.3343361733407
2017-08-22,1688.7227062309717,-940.7527104031519,4179.7944111158695,1960.337301720663
2017-08-23,773.0357492983978,-1743.1154794243796,3244.12378485899,1961.3402672679854
2017-08-24,1960.6713374871433,-421.4452382440811,4355.84345035453,1962.3432328153078
2017-08-25,2504.0840720908373,102.07334577726326,5150.0009202861465,1963.34619836263
2017-08-26,2233.443142354101,-313.81391363212276,4809.37791420136,1964.3491639099525
2017-08-27,2438.38215475079,-78.35790250420509,4993.23010289542,1965.352129457275
2017-08-28,2667.7166408408825,44.56200776847949,5258.465609460414,1966.3550950045972
2017-08-29,2108.034034454936,-409.3806540430779,4546.109909657046,1967.3580605519196
2017-08-30,1221.73852708007,-1282.2053028286084,3784.184083574878,1968.361026099242
2017-08-31,2435.885954967118,-128.36171575996377,4999.22726622755,1969.363991646564
2017-09-01,3002.3178492719344,359.6517411889022,5377.454044099745,1970.3669571938867
2017-09-02,2750.627835212734,236.84814870280312,5257.85336969616,1971.3699227412092
2017-09-03,2969.924257765569,381.44563881708484,5493.723319677899,1972.3728882885312
2017-09-04,3934.5749040438914,1168.2581408289277,6557.040102541041,1973.3758538358538
2017-09-05,2652.7311944653698,-106.68083090116097,5299.513424704517,1974.3788193831763
2017-09-06,1764.53542408969,-707.5749468262828,4315.290915450846,1975.3817849304983
2017-09-07,2970.8102920196643,363.70203861476443,5479.603346157686,1976.3847504778207
2017-09-08,3523.275379513808,922.2074747706283,6183.278534046332,1977.387716025143
2017-09-09,3251.5022130298103,898.507982872993,5812.172224450441,1978.3906815724654
2017-09-10,3444.678848675252,937.5213570815151,5943.729949266455,1979.3936471197878
2017-09-11,3651.3392036695323,1175.0296755513368,6311.098314439095,1980.39661266711
2017-09-12,3057.9616626935376,424.49310012835247,5476.091516910574,1981.3995782144325
2017-09-13,2127.0191817188347,-457.9871623609089,4809.997879941716,1982.402543761755
2017-09-14,3285.815936581116,730.0350099578145,5867.12939536118,1983.4055093090772
2017-09-15,3786.619622881589,1219.214287344573,6450.036494724203,1984.4084748563996
2017-09-16,3459.6226493095755,737.0097451360692,5833.394353379029,1985.411440403722
2017-09-17,3594.6962357647617,1064.1931668246275,5969.69679008274,1986.4144059510443
2017-09-18,3741.1081877918677,1214.1407369145725,6246.520253898786,1987.4173714983667
2017-09-19,3086.1091332437372,381.4010472689972,5574.593337747701,1988.4203370456892
2017-09-20,2092.969712937507,-677.0948628791173,4742.669946672049,1989.4233025930112
2017-09-21,3189.8040457741517,790.1171737084849,5788.113241885729,1990.4262681403338
2017-09-22,3629.6888452722633,1247.2893536084573,6258.461967035561,1991.4292336876563
2017-09-23,3243.6116904520327,744.9957129015304,5828.184193395237,1992.4321992349783
2017-09-24,3322.2127079088405,785.5714783087191,5850.844531398515,1993.435164782301
2017-09-25,3415.490660949661,859.032676164164,5897.24221575504,1994.4381303296234
2017-09-26,2711.378430603089,-85.72459499727,5336.4649180052065,1995.4410958769454
2017-09-27,1673.7705498095074,-948.9352259228187,4082.148292762034,1996.4440614242678
2017-09-28,2731.33824874952,70.01658788469994,5300.041533422326,1997.4470269715905
2017-09-29,3137.641492012104,646.7561252950328,5555.610477109396,1998.4499925189125
2017-09-30,2724.071579793163,-113.19036852689399,5273.931975211637,1999.452958066235
2017-10-01,2781.588605095274,294.62017788783544,5353.117398612064,2000.4559236135576
2017-10-02,2860.4247650653256,152.5453732920273,5387.734126998261,2001.4588891608796
2017-10-03,2148.658482917082,-241.91958474216577,4686.184004404963,2002.461854708202
2017-10-04,1110.2419454754067,-1319.8852780643444,3866.396955265172,2003.4648202555245
2017-10-05,2173.81743406488,-177.01424584432473,4709.000782736575,2004.4677858028467
2017-10-06,2592.83182875771,-136.12068436498276,5078.1864230193605,2005.4707513501692
2017-10-07,2198.482742118081,-261.02669703789934,4780.595478250801,2006.4737168974916
2017-10-08,2281.4604468491134,-373.87184850550244,4792.130967094357,2007.4766824448138
2017-10-09,2115.052743654503,-631.9538033846438,4537.667997703111,2008.4796479921363
2017-10-10,1716.7436150234764,-1098.040336351424,4118.77268959903,2009.4826135394587
2017-10-11,720.2100591858787,-2024.084240638336,3249.9222307053924,2010.485579086781
2017-10-12,1830.1824810458047,-591.658928182958,4256.740051160779,2011.4885446341034
2017-10-13,2299.5477725662167,-90.24655820770019,4833.344016036102,2012.4915101814258
2017-10-14,1958.9065068303012,-641.6302882214478,4802.655119356331,2013.494475728748
2017-10-15,2098.322289171156,-440.12999026213043,4677.444234914249,2014.4974412760705
2017-10-16,2267.037766250822,-369.5741044763379,4720.305367208429,2015.500406823393
2017-10-17,1652.062046423112,-895.5781295246524,4466.168197407005,2016.503372370715
2017-10-18,716.2119495586037,-1975.2709183231777,3243.974302128129,2017.5063379180376
2017-10-19,1886.9422956653416,-681.9523971799379,4378.647376412271,2018.50930346536
2017-10-20,2416.474464299251,-210.6120680575943,4756.397127078843,2019.512269012682
2017-10-21,2134.7565532239755,-583.3913999021344,4823.493319075363,2020.5152345600047
2017-10-22,2331.219193037313,-92.3112250632281,4918.047872945387,2021.5182001073272
2017-10-23,2554.4977922606004,-207.37344781382112,5139.043316624279,2022.5211656546492
2017-10-24,1991.0259590940223,-553.2894032307807,4561.1504004785575,2023.5241312019716
2017-10-25,1103.0825089130067,-1417.608913656967,3417.068210537771,2024.5270967492938
2017-10-26,2317.627253564996,-149.73076307015864,5016.339776264238,2025.5300622966163
2017-10-27,2886.4347842535444,167.83792937504683,5487.6487185996475,2026.5330278439387
2017-10-28,2639.059547825023,-31.240024078772553,5167.209611818685,2027.535993391261
2017-10-29,2864.5962343732854,333.1940764564824,5425.509848878824,2028.5389589385834
2017-10-30,3111.406201319963,422.5140914300417,5587.913293889382,2029.5419244859058
2017-10-31,2565.7146199711688,5.391052543628496,5124.597298374951,2030.544890033228
2017-11-01,1689.6606835052378,-827.142009624852,4277.973521906745,2031.5478555805505
2017-11-02,2910.1359936156564,440.5396348025579,5543.154859102067,2032.550821127873
2017-11-03,3478.920252385985,717.997300942511,6165.159843621349,2033.5537866751952
2017-11-04,3225.6474702018218,668.4654365545621,5854.397981637113,2034.5567522225176
2017-11-05,3439.566618308493,724.7562788889772,5802.220113769039,2035.55971776984
2017-11-06,3669.2673652418707,1084.9627008327413,6048.725869218841,2036.562683317162
2017-11-07,3101.2755047547626,418.0274437665133,5688.62853399147,2037.5656488644847
2017-11-08,2198.1003476416495,-342.7902758418996,4651.761030887772,2038.5686144118072
2017-11-09,3387.069144219123,860.475587932888,6168.206970443942,2039.5715799591292
2017-11-10,3938.5571307118867,1298.8221728272415,6492.538537753738,2040.5745455064518
2017-11-11,4672.244147758605,2151.6551838128385,7249.420776258219,2041.5775110537743
2017-11-12,3800.8916638420487,1311.5329856453925,6236.327505247563,2042.5804766010963
2017-11-13,3987.007156495316,1475.891741287414,6508.509022270065,2043.5834421484187
2017-11-14,3373.985177905175,653.720554471583,5914.082110863691,2044.5864076957414
2017-11-15,2425.0158124497934,-41.5171693156227,5027.825439206986,2045.5893732430634
2017-11-16,3568.113566932803,1085.2870800739236,6102.955025861662,2046.5923387903858
2017-11-17,4056.236023033679,1566.119664277255,6600.295386632782,2047.5953043377083
2017-11-18,3720.231443405016,1132.153449717933,6328.198937822676,2048.5982698850303
2017-11-19,3850.5795151798593,1498.0518596562433,6494.948705247614,2049.601235432353
2017-11-20,3997.0961760891714,1463.7533723004244,6480.499715397764,2050.6042009796756
2017-11-21,3347.507484372706,887.4943506737083,5862.878061617294,2051.607166526998
2017-11-22,2365.4752002138016,-91.2891572654155,4871.298504890916,2052.61013207432
2017-11-23,2847.0326937255304,253.47685502647522,5398.8999067918,2053.6130976216427
2017-11-24,3942.5789061474043,1202.8222485684323,6439.509823014501,2054.616063168965
2017-11-25,3586.049518695725,977.4645369489555,6265.038208961749,2055.619028716287
2017-11-26,3700.4206257892893,1016.8072278489707,6114.467662972948,2056.62199426361
2017-11-27,3835.5252011992416,1248.0448659042577,6403.997477124561,2057.624959810932
2017-11-28,3179.0020177998704,558.7939777004931,5751.468761878612,2058.6279253582543
2017-11-29,2194.321648837501,-405.2119443076941,4867.409604664676,2059.630890905577
2017-11-30,3309.6020148116154,683.9637713429946,5974.7177690649,2060.633856452899
